Problem Size,Solve Time (seconds),Satisfiable
10,8.893013000488281e-05,True
10,4.792213439941406e-05,False
10,1.1920928955078125e-05,False
10,2.6226043701171875e-05,True
10,2.7418136596679688e-05,True
10,2.3603439331054688e-05,False
10,2.6226043701171875e-05,True
10,2.3365020751953125e-05,False
10,2.7894973754882812e-05,True
10,1.9550323486328125e-05,False
16,5.650520324707031e-05,False
16,4.38690185546875e-05,True
16,5.9604644775390625e-05,True
16,4.506111145019531e-05,True
16,5.8650970458984375e-05,False
16,6.985664367675781e-05,False
16,5.316734313964844e-05,True
16,3.62396240234375e-05,True
16,6.031990051269531e-05,False
16,5.245208740234375e-05,False
24,8.988380432128906e-05,False
24,0.00011754035949707031,False
24,0.0001323223114013672,False
24,0.00013208389282226562,False
24,0.0001266002655029297,False
24,0.00010848045349121094,False
24,0.0001347064971923828,False
24,9.989738464355469e-05,True
24,0.0001068115234375,True
24,0.00010037422180175781,False
32,0.0001895427703857422,False
32,0.00013971328735351562,False
32,0.0001614093780517578,False
32,0.00024008750915527344,True
32,0.00017547607421875,False
32,0.00017714500427246094,False
32,0.00019121170043945312,True
32,0.00022101402282714844,False
32,0.00016117095947265625,False
32,0.0001697540283203125,False
36,0.00021529197692871094,False
36,0.0002655982971191406,False
36,0.0001926422119140625,False
36,0.00026106834411621094,False
36,0.00017952919006347656,False
36,0.00026297569274902344,False
36,0.00018358230590820312,False
36,0.0002675056457519531,False
36,0.00024366378784179688,False
36,0.0002932548522949219,False
40,0.0003199577331542969,False
40,0.00021910667419433594,True
40,0.00035071372985839844,False
40,0.00024437904357910156,False
40,0.0003619194030761719,True
40,0.00019621849060058594,False
40,0.0002970695495605469,False
40,0.00036454200744628906,True
40,0.0002498626708984375,False
40,0.0002257823944091797,True
44,0.0002689361572265625,False
44,0.00031948089599609375,False
44,0.0004971027374267578,False
44,0.0003857612609863281,False
44,0.00031876564025878906,False
44,0.00022673606872558594,False
44,0.0002856254577636719,False
44,0.000431060791015625,False
